COMUNE AZIENDA;TITOLARE;DENOMINAZIONE AZIENDA;INDIRIZZO AZIENDA;POSTI LETTO;POSTI MACCHINA;POSTI TENDA;POSTI ROULOTTE;RECAPITI
ACERRA;MORMILE TERESA;AL PLATANO;LOC. VARIGNANO;10;60;;;agriturismoalplatano@libero.it
AGEROLA;FUSCO ISABELLA;IL CASTAGNO;VIA RADICOSA 39/C;15;40;;;ilcastagno@libero.it
AGEROLA;BRANCATI NICOLA;NONNA MARTINA;VIA DEGLI ONTANELLI 3;8;20;;;nonnamartina@gmail.com
AGEROLA;SCALA MARIA IMMACOLATA;IL PETTIROSSO;VIA GALLI,29;9;12;;;nd
AGEROLA;NACLERIO LUCIA;L'AGRIFOGLIO;VIA GEMINI,10;6;30;;;nd
AGEROLA;NACLERIO UMBERTO;NONNO TOBIA;VIA C.S.CAMPORA, 161;12;20;;;info@nonnotobia.it
AGEROLA;ACAMPORA VALENTINO;LUNA D'AGEROLA;VIA RADICOSA,42;6;15;;;agriturismo@email.it
AGEROLA;AVITABILE MARIANGELA;IL SENTIERO DEI SAPORI;VIA TUTTI I SANTI, 25;10;20;;;info@sentierodeisapori.it
AGEROLA;CASTELLANO MARIA ELISA;ZI CARMINE;VIA FONTANA 59;10;20;;;nd
AGEROLA;CASTELLANO MICHELE;LA BAITA;via fontana II trav 2;10;40;;;info@agriturismolabaita.com
AGEROLA;CRISCUOLO IMMACOLATA;MARE E MONTI;VIA SANTA LUCIA I TRAVERSA, 28;12;20;;;info@mareemonti.biz
AGEROLA;SCALESIA FILOMENA;ORRIDO DI PINO;VIA TUORO 3� TRAV,12;6;26;;;scalesiafilomena@legalmail.it
ANACAPRI;DI RISO ALFONSINA;DEL SOLE;VIA MIGLIERA,18;10;;;;agriturismodelsole@pec.it
BACOLI;LUCCI MARIO;IL CASALE DI LUCCI MARIO;VIA PROPERZIO, 21;;40;;;nd
BACOLI;D'ORAZIO PIETRO;SOC. PARCO NATURALE FONDI DI BAIA DI P. D'ORAZIO & C. S.R.L.;VIA FONDI DI BAIA;;;30;;nd
BARANO D'ISCHIA;DI MEGLIO CIRO;GIASOLE;CANDIANO,31;;50;;;nd
BOSCOTRECASE;SORRENTINO  GIUSEPPE;VESEVUS;VIA FRUSCIO,2;12;100;;;tourvesevus@gmail.com
CASAMICCIOLA;PUNZO ANNA;PUNZO ANNA;VIA PERA DI BASSO, 10;12;40;;;info@peradibasso.it
CASTELLAMMARE STABIA;SUARATO SALVATORE;GREENLAND;VIA CUPA S.MARCO,7;;56;;;nd
CASTELLAMMARE STABIA;MARCANTONIO  ANNA;AGRITURISMO QUISISANA;VIA PANTANELLA, 7;9;33;;;agriquisisana@alice.it
CASTELLAMMARE STABIA;PANE LUIGI;AGRITURISMO TERRA E SAPORI;VIA FOSSO LUNA N.2;;20;;;nd
CICCIANO;CASORIA ANTONIETTA;LA REGINELLA DI CASORIA ANTONIETTA & C. SAS;VIA CASERTA � LOC. FELLINO;6;;;;nd
ERCOLANO;BORRIELLO ALESSANDRA;FUOCOMORTO;CROCE DEI MONTI,22/24;6;10;;;INFO@FUOCOMUORTO.IT
FORIO;COLELLA GIOSUE';LA PERGOLA;LOC. SAN GIUSEPPE,8;16;36;;;nd
FORIO;PACE MARCO;PACE E NATURA;VIA COSTA76;;20;;;pacemarco1995@pec.it
GRAGNANO;ESPOSITO ANNA;L'ULIVETO;VIA SAN GIACOMO � LOC. AURANO;10;40;;;info@ulivetoagriturismo.com
GRAGNANO;SCOLA VINCENZO;CASA SCOLA;LOC. CASTELLO;12;40;;;info@casascola.it
GRAGNANO;SICIGNANO AGOSTINO;SOCIETA' VILLA ANTICA S.A.S. DI SICIGNANO AGOSTINO & C.;VIA STATALE PER AGEROLA, 187 - LOC. SAN NICOLA DEI MIRI;;40;;;nd
GRAGNANO;DE GENNARO ANTONINO;LA VIGNA SRL;VIA INCORONATA 56;;65;;;nd
ISCHIA;TRANI GIOVANGIUSEPPE;TORRE DI MEZZO;TORRE DI MEZZO-CAMPAGNANO;;10;;;nd
LACCO AMENO;MAIO CONCETTA;IL PIZZONE;VIA CRATECA;;100;;;nd
MARANO DI NAPOLI;SANTORO ANTIMO;IL GIGLIO DELLA VALLE;VIA CASTEL BELVEDERE,162/A;;236;;;nd
MARIGLIANO;FUSCO GABRIELE;MASSERIA MANONE;VIA FABIO MASSIMO, 33;12;85;;;nd
MASSA DI SOMMA;GUARRACINO CONCETTA;IL CAVALIERE;VIA GRAMSCI, 109;;40;;;nd
MASSA LUBRENSE;ALBERINO EDUARDO;VILLA CASTANITO;VIA CASTAGNETO, 8;2;63;;;info@agriturismovillacastanito.it
META DI SORRENTO;ASTARITA  GIUSEPPE;L'AGRUMETO;VIA ASTARITA,28-29;;40;;;info@agriturismolagrumeto.com
META DI SORRENTO;D'ESPOSITO NICOLA;LA PERGOLA;VIA ASTARITA,80;12;12;;;fila@citromail.hu
MONTE DI PROCIDA;COLANDREA GENEROSO;KM 0 FLEGREO;VIA CAPPELLA 313;;10;;;luigicola88@hotmail.it
