Identificativo;TipologiaImmobile;Indirizzo;Comune;Provincia;Sezione;Foglio;Particella;Sub
1420F;Fabbricato;Contrada Tufara;Altavilla Irpina;AV;;2;1335;1
1421F;Fabbricato;Contrada Tufara;Altavilla Irpina;AV;;2;1336;1
1422F;Fabbricato;Contrada Tufara;Altavilla Irpina;AV;;2;1336;2
150F;Fabbricato;Via Roma, 1 ;Avellino;AV;;36;2992;
282F;Fabbricato;Via Serroni;Mercogliano;AV;;10;154;
152F;Fabbricato;Via Petrile s.n.c.;Sant'Angelo dei Lombardi;AV;;31;1049;
73F;Fabbricato;Viale dei Mellusi, 104;Benevento;BN;;89;98;20
74F;Fabbricato;Viale dei Mellusi, 104;Benevento;BN;;89;98;1
91F;Fabbricato;Via Nicola da Monteforte (ex Piazza Risorgimento);Benevento;BN;;84;82;
156F;Fabbricato;Via Arco Traiano, 42 è. T-1-2;Benevento;BN;;41;4088;7
740F;Fabbricato;Via M. Pascucci (ex Via Santa Colomba);Benevento;BN;;97;41;5
900F;Fabbricato;VIA TORRETTA 29;Benevento;BN;;49;83;1
901F;Fabbricato;VIA TORRETTA 29;Benevento;BN;;49;83;2
902F;Fabbricato;VIA TORRETTA 29;Benevento;BN;;49;83;3
903F;Fabbricato;VIA TORRETTA 29;Benevento;BN;;49;232;9
1352F;Fabbricato;Via Traiano piano 4;Benevento;BN;;41;4088;8
1425F;Fabbricato;Località Porca Prena;Bucciano;BN;;7;29;
1479F;Fabbricato;via Caldaie, snc;Faicchio;BN;;22;584;1
588F;Fabbricato;Strada Statale Appia, 7, piano T - 1;San Giorgio del Sannio;BN;;22;138;4
589F;Fabbricato;Strada Statale Appia, 7, piano 1;San Giorgio del Sannio;BN;;22;138;5
590F;Fabbricato;Strada Statale Appia, 7, piano 1;San Giorgio del Sannio;BN;;22;138;6
591F;Fabbricato;Strada Statale Appia, 7, piano 1;San Giorgio del Sannio;BN;;22;138;7
592F;Fabbricato;Strada Statale Appia, 7, piano 1;San Giorgio del Sannio;BN;;22;138;8
593F;Fabbricato;Strada Statale Appia, 7, piano 1;San Giorgio del Sannio;BN;;22;138;9
651F;Fabbricato;Piazza Risorgimento, 21/22;San Marco dei Cavoti;BN;;35;329;3
1426F;Fabbricato;Località Piano Melaino;Tocco Caudio;BN;;10;181;
387F;Fabbricato;Via Strada Provinciale 264 Basso Volturno;Cancello ed Arnone;CE;;26;119;2
642F;Fabbricato;Via Strada Provinciale 264 Basso Volturno;Cancello ed Arnone;CE;;26;119;4
643F;Fabbricato;Via Strada Provinciale 264 Basso Volturno;Cancello ed Arnone;CE;;26;119;5
644F;Fabbricato;Via Strada Provinciale 264 Basso Volturno;Cancello ed Arnone;CE;;26;119;6
645F;Fabbricato;Via Strada Provinciale 264 Basso Volturno;Cancello ed Arnone;CE;;26;119;7
646F;Fabbricato;Via Strada Provinciale 264 Basso Volturno;Cancello ed Arnone;CE;;26;119;8
647F;Fabbricato;Via Strada Provinciale 264 Basso Volturno;Cancello ed Arnone;CE;;26;119;9
648F;Fabbricato;Via Strada Provinciale 264 Basso Volturno;Cancello ed Arnone;CE;;26;119;3
1427F;Fabbricato;Località Riccia Vecchia;Cancello ed Arnone;CE;;39;5109;
865F;Fabbricato;VIA FRASCALE;Capua;CE;;26;5017;
112F;Fabbricato;Via Provinciale Carinola p.T- vicolo caranci;Carinola;CE;;28;5109;
132F;Fabbricato;Viale Ellittico, 21-23 (p. t.1);Caserta;CE;;500;1906;
