Codice_Isil;Codice_Sbn;Denominazione;Indirizzo;Frazione;Cap;Comune;Codice_Istat_Comune;Provincia;Regione;Codice_Istat_Provincia;Latitudine;Longitudine;Telefono;Cellulare;Fax;Email;Url;Tipologia_Funzionale;Denominazione_Ente;Tipologia_Amministrativa
IT-AV0001;NAPAL;Biblioteca comunale Angelo Caruso;Largo Angelo Caruso 12;null;83011;Altavilla Irpina;64002;Avellino;CAMPANIA;64;409.976.064;147.812.654;825991010;null;825991955;comune.altavillairpina.av@pec.it;www.comunealtavillairpina.gov.it/c064002/zf/index.php/locali-pubblici/index/dettaglio-locale/locale/1;Pubblica;Comune di Altavilla Irpina;Comune
IT-AV0002;NAPAI;Biblioteca comunale;via Libertà, 1;null;83040;Andretta;64003;Avellino;CAMPANIA;64;409.328.682;15.322.609;82732579;null;82732579;comuneandretta@tiscali .it;www.comune.andretta.av.it/;Pubblica;Comune di Andretta;Comune
IT-AV0003;NAPAR;Biblioteca comunale Pasquale Stanislao Mancini;Via Guglielmo Marconi, 2;null;83031;Ariano Irpino;64005;Avellino;CAMPANIA;64;411.544.588;150.912.121;825875410;null;825875341;biblioariano@libero.it;www.server-is2.it/arianoirpino/pagina2228_biblioteca.html;Pubblica;Comune di Ariano Irpino;Comune
IT-AV0004;NAPDV;Biblioteca diocesana;Piazza Plebiscito, 13;null;83031;Ariano Irpino;64005;Avellino;CAMPANIA;64;411.528.421;150.884.703;825873200;null;null;beniecclesiasticiariano@tin.it;null;Importante non specializzata;Diocesi di Ariano Irpino-Lacedonia;Enti ecclesiastici
IT-AV0005;null;Biblioteca comunale Leopoldo Cassese;Piazza Sparavigna 4;null;83042;Atripalda;64006;Avellino;CAMPANIA;64;409.217.809;148.338.982;825624766;null;825611798;biblioteca@comune.atripalda.av.it;www.sistemabibliotecheirpine.it;Pubblica;Comune di Atripalda;Comune
IT-AV0006;null;Biblioteca comunale Ignazio D'Anna;corso Vittorio Emanuele - palazzo Fazio;null;83021;Avella;64007;Avellino;CAMPANIA;64;40.957.985;145.994.488;818259367;null;818259315;bibliotecaupupa@libero.it;null;Pubblica;Comune di Avella;Comune
IT-AV0007;NAPAV;Biblioteca Provinciale Giulio e Scipione Capone;Corso Europa, 251;null;83100;Avellino;64008;Avellino;CAMPANIA;64;409.126.536;147.874.214;825790509;null;825790529;info@mediateca.avellino.it;www.mediateca.avellino.it;Pubblica;Provincia di Avellino;Provincia
IT-AV0008;null;Biblioteca S. Alfonso de' Liguori dei Padri Redentoristi;Via S. Tommaso 116;null;83100;Avellino;64008;Avellino;CAMPANIA;64;4.090.466;147.993.158;82571553;null;82571553;null;null;Specializzata;Redentoristi. Collegio di Avellino;Enti ecclesiastici
IT-AV0011;null;Biblioteca dell'Archivio di Stato;via Giuseppe Verdi, 15-17;null;83100;Avellino;64008;Avellino;CAMPANIA;64;409.142.812;147.879.128;825779111;null;825779516;as-av@beniculturali.it;www.asavellino.beniculturali.it/index.php/it/la-biblioteca;Specializzata;Ministero dei beni e delle attività culturali e del turismo. Archivio di Stato di Avellino;Direzione generale Archivi
IT-AV0014;null;Biblioteca Comunale Salvatore Pescatori;Via G. Garibaldi 37;null;83043;Bagnoli Irpino;64009;Avellino;CAMPANIA;64;408.305.253;150.696.562;82762317;null;82762003;null;null;Pubblica;Comune di Bagnoli Irpino;Comune
