MD_ID;ENGLISH;GAEILGE;CONTAE;COUNTY;PROVINCE;GUID;CENTROID_X;CENTROID_Y;AREA;OBJECTID;Shape__Area;Shape__Length
4415003;Municipal District of Inishowen;;Dún na nGall;DONEGAL;Ulster;2ae19629-40bf-13a3-e055-000000000001;64756797;9378398;88773681108;1;8,88E+13;3E+13
4215002;Municipal District of West Clare;;An Clár;CLARE;Munsters;2ae19629-40b2-13a3-e055-000000000001;50464049;68007802;2,05E+11;2;2,05E+14;4,48E+14
6215001;Municipal District of Birr;;Uíbh Fhailí;OFFALY;Leinster;2ae19629-4093-13a3-e055-000000000001;61104021;70612544;1,01E+11;3;1,01E+14;2,26E+14
5115004;Municipal District of Castleisland-Corca Dhuibhne;;Ciarraí;KERRY;Munster;2ae19629-40ca-13a3-e055-000000000001;46743238;60764408;1,34E+11;4;1,34E+14;5,06E+14
5915004;Municipal District of Westport - Belmullet;;Maigh Eo;MAYO;Connacht;2ae19629-4089-13a3-e055-000000000001;47854097;80517583;2,25E+11;5;2,24E+14;1,29E+13
7015005;Municipal District Wicklow;;Cill Mhantáin;WICKLOW;Leinster;2ae19629-40de-13a3-e055-000000000001;71936691;69842314;43409600456;6;4,34E+14;1,41E+14
6615003;Municipal District of Tipperary-Cahir-Cashel;;Tiobraid Árann;TIPPERARY;Munster;2ae19629-409d-13a3-e055-000000000001;59488775;63265499;1,32E+11;7;1,32E+14;2,62E+14
6015003;Municipal District of Laytown - Bettystown;;An Mhí;MEATH;Leinster;2ae19629-408c-13a3-e055-000000000001;70224078;77636635;30517266809;8;3,05E+14;1,49E+14
4115003;Municipal District of Ballyjamesduff;;An Cabhán;CAVAN;Ulster;2ae19629-40b0-13a3-e055-000000000001;64849272;79448668;60551286903;9;6,05E+14;2,04E+14
5715003;Municipal District of Longford;;An Longfort;LONGFORD;Leinster;2ae19629-4082-13a3-e055-000000000001;61307551;77875554;17173155134;10;1,72E+14;9,96E+14
6615002;Municipal District of Carrick-on-Suir;;Tiobraid Árann;TIPPERARY;Munster;2ae19629-409c-13a3-e055-000000000001;6260856;638323;58214453969;11;5,82E+14;1,8E+14
6015006;Municipal District of Trim;;An Mhí;MEATH;Leinster;2ae19629-408f-13a3-e055-000000000001;67106214;75185851;49952385457;12;5E+14;1,53E+14
6815002;Municipal District of Mullingar - Kinnegad;;An Iarmhí;WESTMEATH;Leinster;2ae19629-40a4-13a3-e055-000000000001;65002873;76045081;88512913565;13;8,85E+14;1,94E+14
5615002;Municipal District of Adare-Rathkeale;;Luimneach;LIMERICK;Munster;2ae19629-40da-13a3-e055-000000000001;54052245;64545195;7575261847;14;7,57E+14;1,94E+14
6615001;Borough District of Clonmel;;Tiobraid Árann;TIPPERARY;Munster;2ae19629-409b-13a3-e055-000000000001;62224217;62984091;25024764774;15;2,5E+14;1,01E+14
4015002;Municipal District of Muinebeag;;Ceatharlach;CARLOW;Leinster;2ae19629-40ad-13a3-e055-000000000001;67158336;65447776;41871258175;16;4,19E+14;1,31E+14
6615005;Municipal District of Thurles;;Tiobraid Árann;TIPPERARY;Munster;2ae19629-409f-13a3-e055-000000000001;61369959;67009044;94816912501;17;9,48E+14;2,19E+14
6115002;Municipal District of Carrickmacross - Castleblayney;;Muineachán;MONAGHAN;Ulsterr;2ae19629-4091-13a3-e055-000000000001;68486707;81204492;34702388646;18;3,47E+14;1,38E+14
4215001;Municipal District of Ennis;;An Clár;CLARE;Munster;2ae19629-40b1-13a3-e055-000000000001;5325263;67742229;17302532528;19;1,73E+13;1,08E+14
5215005;Municipal District of Naas;;Cill Dara;KILDARE;Leinster;2ae19629-40cf-13a3-e055-000000000001;69411643;71820221;18825534155;20;1,88E+14;8,79E+13
7015003;Municipal District of Bray;;Cill Mhantáin;WICKLOW;Leinster;2ae19629-40ab-13a3-e055-000000000001;71900032;7151122;12392817206;21;1,24E+14;6,36E+14
6915003;Municipal District of Gorey-Kilmuckridge;;Loch Garman;WEXFORD;Leinster;2ae19629-40a7-13a3-e055-000000000001;71154408;65037671;78464167433;22;7,85E+14;1,7E+14
6015002;Municipal District of Kells;;An Mhí;MEATH;Leinster;2ae19629-408b-13a3-e055-000000000001;6679592;77824866;81991305244;23;8,2E+14;2,37E+14
6015004;Municipal District of Navan;;An Mhí;MEATH;Leinter;2ae19629-408d-13a3-e055-000000000001;68566909;76635121;11978746361;24;1,2E+14;6,02E+14
6815001;Municipal District of Athlone - Moate;;An Iarmhí;WESTMEATH;Leinter;2ae19629-40a3-13a3-e055-000000000001;62432515;75041044;95318069759;25;9,53E+14;2,22E+14
6015001;Municipal District of Ashbourne;;An Mhí;MEATH;Leinter;2ae19629-408a-13a3-e055-000000000001;70242391;75752789;30269658768;26;3,03E+14;1,79E+14
5015004;Municipal District of Loughrea;;Gaillimh;GALWAY;Connacht;2ae19629-40c5-13a3-e055-000000000001;56266991;71138246;1,55E+11;27;1,55E+14;3,62E+13
6715002;Municipal District of Comeragh;;Port Láirge;WATERFORD;Monster;2ae19629-40a1-13a3-e055-000000000001;63423938;60915316;71287764752;28;7,13E+14;1,71E+14
4315002;Municipal District of Bandon - Kinsale;;Corcaigh;CORK;Monster;2ae19629-40b6-13a3-e055-000000000001;55458944;55066625;6463415601;29;6,46E+14;2,7E+14
4315005;Municipal District of East Cork;;Corcaigh;CORK;Monster;2ae19629-40b9-13a3-e055-000000000001;59483386;57444929;5527032265;30;5,53E+14;1,82E+14
6415001;Municipal District of Sligo-Drumcliff;;Sligeach;SLIGO;Connacht;2ae19629-4099-13a3-e055-000000000001;56662589;84082145;42571969092;31;3,91E+14;2,53E+14
5415001;Municipal District of Borris-in-Ossory-Mountmellick;;Laois;LAOIS;Leinster;2ae19629-40d3-13a3-e055-000000000001;63457529;69430836;90757781322;32;9,08E+14;2,15E+14
6215003;Municipal District of Tullamore;;Uíbh Fhailí;OFFALY;Leinster;2ae19629-4095-13a3-e055-000000000001;62914128;72708141;39942956782;33;3,99E+14;1,18E+13
6215002;Municipal District of Edenderry;;Uíbh Fhailí;OFFALY;Leinster;2ae19629-4094-13a3-e055-000000000001;6521847;72570697;59111574655;34;5,91E+14;1,41E+14
6115003;Municipal District of Monaghan;;Muineachán;MONAGHAN;Ulster;2ae19629-4092-13a3-e055-000000000001;66686779;8382372;40488831629;35;4,05E+14;1,51E+14
5415002;Municipal District of Graiguecullen-Portarlington;;Laois;LAOIS;Leinster;2ae19629-40d4-13a3-e055-000000000001;66084694;69293857;51858496012;36;5,19E+14;1,52E+14
5515003;Municipal District of Manorhamilton;;Liatroim;LEITRIM;Connacht;2ae19629-40d8-13a3-e055-000000000001;58786633;8378749;75621085249;37;7,56E+13;1,6E+14
5015002;Municipal District of Ballinasloe;;Gaillimh;GALWAY;Connacht;2ae19629-40c3-13a3-e055-000000000001;57811034;74483955;1,19E+11;38;1,19E+14;2,8E+14
5115003;Municipal District of Kenmare;;Ciarraí;KERRY;Munster;2ae19629-40c9-13a3-e055-000000000001;46835869;57598516;1,87E+11;39;1,87E+14;6,97E+14
5615004;Municipal District of Newcastle West;;Luimneach;LIMERICK;Munster;2ae19629-40dc-13a3-e055-000000000001;52897857;6328785;73738940439;40;7,37E+14;2E+14
