LE_ID,ENGLISH,GAEILGE,CONTAE,COUNTY,PROVINCE,GUID,CENTROID_X,CENTROID_Y,AREA,OBJECTID,Shape__Area,Shape__Length
13160403,RATOATH LEA-7,,An Mhí,MEATH,Leinster,2ae19629-3f1b-13a3-e055-000000000001,696233.81,749103.41,294980555.41,1,294959510.061768,107049.850549704
13210401,ROSCREA-TEMPLEMORE LEA-4,,Tiobraid Árann,TIPPERARY,Munster,2ae19629-3f2d-13a3-e055-000000000001,608921.75,676626.3,492845201.58,2,492868121.071991,152755.155302461
13180401,TULLAMORE LEA-7,,Uíbh Fhailí,OFFALY,Leinster,2ae19629-3f22-13a3-e055-000000000001,629141.28,727081.41,399429567.82,3,399427323.740692,117732.208119842
1360401,TUAM LEA-7,,Gaillimh,GALWAY,Connacht,2ae19629-3f49-13a3-e055-000000000001,537051.25,753542.8,780692552.61,4,780619720.868622,172829.409271653
13100400,BORRIS-IN-OSSORY -MOUNTMELLICK LEA-6,,Laois,LAOIS,Leinster,2ae19629-3eff-13a3-e055-000000000001,634575.29,694308.36,907577813.22,5,907540195.538361,215106.561323524
13230402,KINNEGAD LEA-5,,An Iarmhí,WESTMEATH,Leinster,2ae19629-3f38-13a3-e055-000000000001,650028.73,760450.81,713836294.06,6,713837706.389343,211372.650323447
13260428,DONAGHMEDE LEA-5,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-3f5e-13a3-e055-000000000001,722785.9,739165.98,9391520.2,7,9395931.5970459,20932.2111809539
1350401,MILFORD LEA-3,,Dún na nGall,DONEGAL,Ulster,2ae19629-3f44-13a3-e055-000000000001,613765.64,930821.56,515697824.15,8,515720892.714539,336814.335973835
1360422,GALWAY CITY EAST LEA-6,,Gaillimh,GALWAY,Connacht,2ae19629-3f6a-13a3-e055-000000000001,533315.34,726714.34,20305944.93,9,20318002.1186218,32627.3450357386
13170402,BALLYBAY-CLONES LEA-5,,Muineachán,MONAGHAN,Ulster,2ae19629-3f20-13a3-e055-000000000001,662209.11,820886.44,542251917.92,10,542261264.981689,206020.339599944
1380405,CLANE LEA-5,,Cill Dara,KILDARE,Leinster,2ae19629-3ef4-13a3-e055-999880000001,674866.63,733279.17,378107171.04,11,378051727.653351,109878.557581336
1320400,CAVAN - BELTURBET LEA-6,,An Cabhán,CAVAN,Ulster,2ae19629-3f29-13a3-e055-000000000001,622293.1,819038.81,679676119.47,12,679696100.047333,231707.906099159
13260412,TALLAGHT CENTRAL LEA-6,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-3f51-13a3-e055-000000000001,708602.09,728308.34,14760704.28,13,14728437.071106,18224.130132946
13230401,MOATE LEA-4,,An Iarmhí,WESTMEATH,Leinster,2ae19629-3f37-13a3-e055-000000000001,629172.63,750410.44,731360783.58,14,731358391.885559,201177.59737812
13210400,NENAGH LEA-5,,Tiobraid Árann,TIPPERARY,Munster,2ae19629-3f2c-13a3-e055-000000000001,591300.27,694071.03,636110105.5,15,636153840.213043,150348.412845829
13140400,DUNDALK-CARLINGFORD LEA-6,,Lú,LOUTH,Leinster,2ae19629-3f10-13a3-e055-000000000001,711228.46,812110.26,198271752.07,16,198300069.283203,103711.648085421
13260422,BALLYFERMOT-DRIMNAGH LEA-5,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-3f58-13a3-e055-000000000001,709963.71,732999.97,11027336.78,17,11017166.9371033,19726.0830843182
13260406,DUNDRUM LEA-7,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-3efd-13a3-e055-000000000001,716791.52,728307.05,10166489.35,18,10170315.10495,16700.0533853968
13260404,HOWTH-MALAHIDE LEA-7,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-3efb-13a3-e055-000000000001,724036.23,741866.48,46733669.48,19,46762772.9627075,63576.796906617
13260419,PALMERSTOWN-FONTHILL LEA-5,,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-3ef4-13a3-e055-999770000001,706982.84,734272.97,11204056.91,20,11174585.7983704,16563.0728589942
13220421,WATERFORD CITY SOUTH LEA-6,,Port Láirge,WATERFORD,Munster,2ae19629-3f34-13a3-e055-000000000001,659642.34,607046.13,34986956.59,21,34980015.3399963,35499.3545454233
