id;department_code;insee_code;zip_code;name;slug;gps_lat;gps_lng
1;1;1001;1400;L'Abergement-Clémenciat;l abergement clemenciat;4,61568E+13;4,9247E+13
2;1;1002;1640;L'Abergement-de-Varey;l abergement de varey;46010085625;5,42876E+13
3;1;1004;1500;Ambérieu-en-Bugey;amberieu en bugey;4,59584E+13;5,37599E+13
4;1;1005;1330;Ambérieux-en-Dombes;amberieux en dombes;4,60001E+13;4,9106E+13
5;1;1006;1300;Ambléon;ambleon;4,57464E+13;5,60249E+13
6;1;1007;1500;Ambronay;ambronay;4,60014E+13;5,36654E+13
7;1;1008;1500;Ambutrix;ambutrix;4,5936E+13;5,33183E+13
8;1;1009;1300;Andert-et-Condon;andert et condon;4,57865E+13;5,65744E+13
9;1;1010;1350;Anglefort;anglefort;4,59194E+13;5,78904E+13
10;1;1011;1100;Apremont;apremont;4,62076E+12;5,65992E+13
11;1;1012;1110;Aranc;aranc;4,60048E+13;5,50402E+13
12;1;1013;1230;Arandas;arandas;45891865;5,4931E+12
13;1;1014;1100;Arbent;arbent;4,62862E+12;5,68752E+13
14;1;1015;1300;Arboys en Bugey;arboys en bugey;4,57172E+13;5,64452E+13
15;1;1016;1190;Arbigny;arbigny;4,64756E+13;4,96955E+13
16;1;1017;1230;Argis;argis;4,59352E+13;5,48169E+13
17;1;1019;1510;Armix;armix;4,58566E+13;55744975
18;1;1021;1480;Ars-sur-Formans;ars sur formans;4599437625;4,81914E+13
19;1;1022;1510;Artemare;artemare;4,58695E+13;5,69236E+12
20;1;1023;1570;Asnières-sur-Saône;asnieres sur saone;4,63861E+13;4,88606E+13
21;1;1024;1340;Attignat;attignat;4,62859E+13;5,18165E+13
22;1;1025;1380;Bâgé-Dommartin;bage dommartin;463223375;4957910975
23;1;1026;1380;Bâgé-le-Châtel;bage le chatel;4,63079E+13;4,92957E+13
24;1;1027;1360;Balan;balan;4,583E+12;5,10216E+13
25;1;1028;1990;Baneins;baneins;4,61195E+13;4,90658E+13
26;1;1029;1270;Beaupont;beaupont;4,6425E+12;5,26294E+13
27;1;1030;1480;Beauregard;beauregard;4,6001E+13;4,75695E+13
28;1;1031;1100;Bellignat;bellignat;4,62414E+13;5639985
29;1;1032;1360;Béligneux;beligneux;4,58654E+12;5,13276E+13
30;1;1033;1200;Bellegarde-sur-Valserine;bellegarde sur valserine;4,61049E+13;5,82483E+13
31;1;1034;1300;Belley;belley;4,57478E+13;5,68156E+13
32;1;1035;1130;Belleydoux;belleydoux;4,62556E+13;5,77904E+13
33;1;1036;1260;Belmont-Luthézieu;belmont luthezieu;4,58922E+13;5,65704E+13
34;1;1037;1470;Bénonces;benonces;4,58357E+13;5,47867E+13
35;1;1038;1370;Bény;beny;4,63215E+13;5,28475E+13
36;1;1039;1350;Béon;beon;4,58584E+13;5,74586E+13
37;1;1040;1340;Béréziat;bereziat;4,63688E+13;5,04075E+13
38;1;1041;1500;Bettant;bettant;4,59388E+12;5,3656E+12
39;1;1042;1290;Bey;bey;4,62179E+13;4,84537E+13
40;1;1043;1700;Beynost;beynost;4,5842E+12;4,99647E+13
41;1;1044;1200;Billiat;billiat;4,60778E+13;5,77223E+12
42;1;1045;1330;Birieux;birieux;4,59555E+12;5,03953E+12
43;1;1046;1290;Biziat;biziat;4622892;4,94453E+13
44;1;1047;1150;Blyes;blyes;4,58436E+13;5,24926E+13
45;1;1049;1120;La Boisse;la boisse;4584861648;502185976
46;1;1050;1190;Boissey;boissey;463812;4996962
47;1;1050;1380;Boissey;boissey;463812;4996962
48;1;1051;1450;Bolozon;bolozon;4,61963E+13;5,46745E+13
49;1;1052;1330;Bouligneux;bouligneux;4,60218E+13;4,99935E+13
50;1;1053;1000;Bourg-en-Bresse;bourg en bresse;4,62074E+12;5,24612E+13
51;1;1054;1800;Bourg-Saint-Christophe;bourg saint christophe;4,58877E+12;5,14119E+13
52;1;1056;1640;Boyeux-Saint-Jérôme;boyeux saint jerome;4,60349E+13;5,45654E+13
53;1;1057;1190;Boz;boz;4,64067E+13;4,91452E+13
54;1;1058;1300;Brégnier-Cordon;bregnier cordon;4,56426E+13;5,62189E+13
55;1;1059;1260;Brénaz;brenaz;459507006;57319224
56;1;1060;1110;Brénod;brenod;4,60799E+13;5,62456E+13
57;1;1061;1300;Brens;brens;45716478;5,6952E+13
58;1;1062;1360;Bressolles;bressolles;4,58717E+13;5,10056E+13
59;1;1063;1460;Brion;brion;4,61646E+13;5,54596E+13
60;1;1064;1470;Briord;briord;4,57782E+13;5,49078E+13
61;1;1065;1310;Buellas;buellas;4,62115E+13;5,14509E+13
62;1;1066;1510;La Burbanche;la burbanche;4,58651E+13;5,5447E+13
63;1;1067;1430;Ceignes;ceignes;4,61229E+13;5,49457E+13
64;1;1068;1450;Cerdon;cerdon;4,6075E+13;5,4736E+13
65;1;1069;1240;Certines;certines;46132655;5,26542E+13
66;1;1071;1170;Cessy;cessy;4,6318E+13;6,07601E+13
67;1;1072;1250;Ceyzériat;ceyzeriat;4618357864;531511216
68;1;1073;1350;Ceyzérieu;ceyzerieu;4,58326E+13;5,71168E+13
69;1;1074;1320;Chalamont;chalamont;4,60026E+13;5,17399E+12
70;1;1075;1480;Chaleins;chaleins;4,60344E+13;4,79969E+13
71;1;1076;1230;Chaley;chaley;4,59564E+13;5,54498E+12
72;1;1077;1450;Challes-la-Montagne;challes la montagne;4,61232E+13;5,46015E+13
73;1;1078;1630;Challex;challex;4,61754E+13;5,96793E+13
74;1;1079;1260;Champagne-en-Valromey;champagne en valromey;4,59316E+13;5,69347E+13
75;1;1080;1110;Champdor-Corcelles;champdor corcelles;4,60327E+13;5,57546E+12
76;1;1081;1410;Champfromier;champfromier;4,62206E+13;5,82427E+13
77;1;1082;1420;Chanay;chanay;4,60019E+13;5,77952E+13
78;1;1083;1990;Chaneins;chaneins;4,60888E+13;4,85522E+13
79;1;1084;1400;Chanoz-Châtenay;chanoz chatenay;4,61872E+13;5,02708E+13
80;1;1085;1240;La Chapelle-du-Châtelard;la chapelle du chatelard;4,60719E+12;5,02385E+13
81;1;1087;1130;Charix;charix;4,61886E+13;5683287
82;1;1088;1800;Charnoz-sur-Ain;charnoz sur ain;4,58731E+13;5,22E+13
83;1;1089;1500;Château-Gaillard;chateau gaillard;4,59649E+13;5,30284E+13
84;1;1090;1320;Châtenay;chatenay;4,6027E+13;5,20635E+13
85;1;1091;1200;Châtillon-en-Michaille;chatillon en michaille;4,61298E+13;5,77231E+13
86;1;1092;1320;Châtillon-la-Palud;chatillon la palud;4,59739E+13;5,23855E+13
87;1;1093;1400;Châtillon-sur-Chalaronne;chatillon sur chalaronne;4,61212E+13;49594278125
88;1;1094;1190;Chavannes-sur-Reyssouze;chavannes sur reyssouze;4,64363E+13;5,001E+13
89;1;1095;1250;Nivigne et Suran;nivigne et suran;4,62873E+13;5,42912E+13
90;1;1096;1660;Chaveyriat;chaveyriat;4,62032E+13;505054
91;1;1097;1510;Chavornay;chavornay;4,58828E+13;5,72735E+13
92;1;1098;1300;Chazey-Bons;chazey bons;45802649;5681342
93;1;1098;1510;Chazey-Bons;chazey bons;45802649;5681342
94;1;1099;1150;Chazey-sur-Ain;chazey sur ain;4,58978E+13;5,2575E+12
95;1;1100;1510;Cheignieu-la-Balme;cheignieu la balme;4,58217E+13;5,60048E+13
96;1;1101;1430;Chevillard;chevillard;4,61091E+13;5,57923E+12
97;1;1102;1190;Chevroux;chevroux;4,63822E+13;4,96518E+13
98;1;1103;1170;Chevry;chevry;4,6284E+12;6,04522E+13
99;1;1104;1200;Chézery-Forens;chezery forens;461202119;57896126
100;1;1104;1410;Chézery-Forens;chezery forens;46223054;5868303
101;1;1105;1390;Civrieux;civrieux;4,59182E+13;4,88479E+13
102;1;1106;1250;Cize;cize;4,61985E+13;5,45121E+13
103;1;1107;1230;Cleyzieu;cleyzieu;4,59024E+13;5,43273E+13
104;1;1108;1270;Coligny;coligny;4,63846E+13;5,32659E+12
105;1;1109;1550;Collonges;collonges;4614152784;590460952
106;1;1110;1300;Colomieu;colomieu;4,57385E+13;5,62656E+13
107;1;1111;1230;Conand;conand;4,589E+13;5,47139E+13
108;1;1112;1430;Condamine;condamine;4,61045E+13;5,55825E+13
109;1;1113;1400;Condeissiat;condeissiat;4,61521E+11;5087552125
110;1;1114;1200;Confort;confort;4,61566E+13;5,83044E+13
111;1;1115;1310;Confrançon;confrancon;4,62678E+11;50631065
112;1;1116;1300;Contrevoz;contrevoz;4,5803E+13;5,62114E+13
113;1;1117;1300;Conzieu;conzieu;4,57279E+13;5,60632E+12
114;1;1118;1420;Corbonod;corbonod;4,59724E+13;5,788E+13
115;1;1121;1110;Corlier;corlier;4,60327E+13;54985325
116;1;1122;1110;Cormaranche-en-Bugey;cormaranche en bugey;4,59479E+13;561038
117;1;1123;1290;Cormoranche-sur-Saône;cormoranche sur saone;4,6238E+12;4,83493E+13
118;1;1124;1560;Cormoz;cormoz;4,64336E+13;5,22567E+13
119;1;1125;1250;Corveissiat;corveissiat;4,62547E+13;5,46886E+13
120;1;1127;1370;Courmangoux;courmangoux;4,63261E+13;5,35043E+13
121;1;1128;1560;Courtes;courtes;4,64571E+13;5,11396E+13
122;1;1129;1320;Crans;crans;4,59659E+13;5,19331E+13
123;1;1130;1340;Cras-sur-Reyssouze;cras sur reyssouze;4,63134E+13;5,17837E+13
124;1;1133;1350;Cressin-Rochefort;cressin rochefort;4,57843E+13;5,75889E+13
125;1;1134;1290;Crottet;crottet;46277172;4892867
126;1;1134;1750;Crottet;crottet;463070867;48676037
127;1;1135;1170;Crozet;crozet;4,62905E+13;6,00295E+13
128;1;1136;1290;Cruzilles-lès-Mépillat;cruzilles les mepillat;4,62214E+13;4,87566E+13
129;1;1138;1350;Culoz;culoz;4,58559E+13;5,77543E+13
130;1;1139;1560;Curciat-Dongalon;curciat dongalon;4,64882E+13;5,16613E+13
131;1;1140;1310;Curtafond;curtafond;4,62737E+13;5,10372E+13
132;1;1141;1300;Cuzieu;cuzieu;4,58189E+13;5,67989E+13
133;1;1142;1120;Dagneux;dagneux;4,58574E+12;5,07447E+13
134;1;1143;1220;Divonne-les-Bains;divonne les bains;4637205265;611931745
135;1;1145;1240;Dompierre-sur-Veyle;dompierre sur veyle;4,60656E+13;5,21519E+13
136;1;1146;1400;Dompierre-sur-Chalaronne;dompierre sur chalaronne;4,61439E+13;4,90061E+13
137;1;1147;1270;Domsure;domsure;4,64242E+13;5,29311E+13
138;1;1148;1590;Dortan;dortan;4,63135E+13;5,64524E+13
139;1;1149;1500;Douvres;douvres;4,59854E+13;5,37413E+13
140;1;1150;1250;Drom;drom;4,62236E+13;5,36997E+13
141;1;1151;1160;Druillat;druillat;4,60684E+13;5,29529E+13
142;1;1152;1130;Échallon;echallon;4,62235E+13;5,73685E+13
143;1;1153;1170;Échenevex;echenevex;4,63157E+13;6,02269E+13
144;1;1154;1340;Étrez;etrez;4,63414E+13;5,19625E+13
145;1;1155;1230;Évosges;evosges;4,59572E+13;5,49723E+13
146;1;1156;1800;Faramans;faramans;4,59074E+13;5,12287E+13
147;1;1157;1480;Fareins;fareins;4,60239E+12;4,76663E+12
148;1;1158;1550;Farges;farges;4,61625E+13;5,91922E+12
149;1;1159;1570;Feillens;feillens;4,63372E+13;4,89061E+13
150;1;1160;1210;Ferney-Voltaire;ferney voltaire;4625432;6,1068E+12
151;1;1162;1350;Flaxieu;flaxieu;4,58118E+13;5,74085E+12
152;1;1163;1340;Foissiat;foissiat;4,63783E+13;5,18714E+13
153;1;1165;1090;Francheleins;francheleins;4,60719E+13;4,82444E+13
154;1;1166;1480;Frans;frans;4,59921E+13;4,77654E+13
155;1;1167;1140;Garnerans;garnerans;4,62119E+13;4,83313E+13
156;1;1169;1090;Genouilleux;genouilleux;4,61225E+13;4,80125E+13
157;1;1170;1460;Béard-Géovreissiat;beard geovreissiat;4,61914E+13;5,54975E+13
158;1;1171;1100;Géovreisset;geovreisset;4,62556E+13;5,61894E+13
159;1;1173;1170;Gex;gex;4,63436E+13;6,04749E+13
160;1;1174;1130;Giron;giron;4,62179E+13;5,78702E+13
161;1;1175;1190;Gorrevod;gorrevod;4,64154E+13;4,95591E+13
162;1;1177;1250;Grand-Corent;grand corent;4,62152E+13;5,4388E+13
163;1;1179;1290;Grièges;grieges;4,62638E+13;4,85315E+12
164;1;1180;1220;Grilly;grilly;4,63292E+13;6,11528E+13
165;1;1181;1100;Groissiat;groissiat;4,62236E+13;5,61823E+13
166;1;1183;1090;Guéreins;guereins;4,61045E+13;4,78655E+13
167;1;1184;1250;Hautecourt-Romanèche;hautecourt romaneche;4,61625E+13;5,42673E+13
168;1;1185;1110;Hauteville-Lompnes;hauteville lompnes;4,59647E+13;5,57219E+13
169;1;1186;1110;Hostiaz;hostiaz;4,59053E+13;5,53592E+12
170;1;1187;1260;Haut Valromey;haut valromey;4,60363E+13;567748
171;1;1188;1140;Illiat;illiat;4,61862E+13;4,89329E+13
172;1;1189;1200;Injoux-Génissiat;injoux genissiat;4,60477E+13;5,76956E+13
173;1;1190;1680;Innimond;innimond;4,57916E+13;5,56996E+12
174;1;1191;1430;Izenave;izenave;4,60399E+13;5,52383E+13
175;1;1192;1580;Izernore;izernore;4,62168E+13;5,55501E+13
176;1;1193;1300;Izieu;izieu;4,56537E+13;5,63922E+13
177;1;1194;1480;Jassans-Riottier;jassans riottier;4,5979E+13;4,76052E+13
178;1;1195;1250;Jasseron;jasseron;4,62183E+13;5,31431E+13
179;1;1196;1340;Jayat;jayat;4,63702E+13;5,11188E+13
180;1;1197;1250;Journans;journans;4,61473E+13;5,33656E+13
181;1;1198;1800;Joyeux;joyeux;4,59516E+13;5,10249E+13
182;1;1199;1640;Jujurieux;jujurieux;4,60462E+13;5,41888E+12
183;1;1200;1450;Labalme;labalme;4,60897E+13;5,48935E+13
184;1;1202;1150;Lagnieu;lagnieu;4,58949E+13;5,3415E+13
185;1;1203;1290;Laiz;laiz;4,62472E+12;4,89947E+13
186;1;1204;1130;Le Poizat-Lalleyriat;le poizat lalleyriat;4,61396E+13;5,69178E+12
187;1;1205;1200;Lancrans;lancrans;4,61282E+13;5,83951E+13
188;1;1206;1430;Lantenay;lantenay;4,60571E+13;5,53902E+13
189;1;1207;1330;Lapeyrouse;lapeyrouse;4,5988E+13;4,97716E+13
190;1;1208;1350;Lavours;lavours;4,58134E+13;5,77355E+13
191;1;1209;1200;Léaz;leaz;4,61112E+13;5,87637E+13
192;1;1210;1410;Lélex;lelex;4,62897E+13;5,92452E+13
