Jaar;LEEFTIJD;GESLACHT;vervoerwijze;vervoerwijzefilter;wegvak/kruispunt;wegbeheerder;wegnummer;HECTOMETER;STRAAT1;STRAAT2;STRAAT3;GEMEENTE;GEMEENTE 2013;PROVINCIE;type locatie;X_COORD;Y_COORD;latitude;longitude
2006;67;M;Personenauto;1;32151001;;;;Retranchementseweg;Bosweg;GROENE WEG;Sluis Z;Sluis Z;Zeeland;W;16483;375782;5135425148;3398533467
2006;9;M;Personenauto;1;47133006;;;;Buitendijk;Buitendijk;Galgenstraat;Sluis Z;Sluis Z;Zeeland;K;23959;366700;5127443359;3509163952
2006;56;M;Personenauto;1;53155002;;;178,8;Rijksweg;Middendijk;Schoondijkseweg;Sluis Z;Sluis Z;Zeeland;W;26789;377298;5137030384;3545870315
2006;0;V;Personenauto;1;60143043;;;0,6;Middenweg;Oranjestraat;Turkeijeweg;Sluis Z;Sluis Z;Zeeland;K;30224;371642;5132025263;3597172306
2006;58;V;Fiets;2;61175056;;;;Bermweg;Kanaalstraat;Spoorstraat;Vlissingen;Vlissingen;Zeeland;K;30524;387701;5146461131;3595816353
2006;70;V;Fiets;2;64182012;;;;Kanaalweg;Kanaalweg;Stationsbrug;Middelburg;Middelburg;Zeeland;K;32152;391096;5149547324;361804917
2006;42;M;Personenauto;1;72182053;;;16,3;RYKSWG;ARNEMUIDEN & BS 37;RYKSWG;Middelburg;Middelburg;Zeeland;W;37245;391810;51502977;3691123711
2006;25;M;Personenauto;1;73177006;;;25,9;Sloeweg Noord;RITTHEM;Sloeweg Noord;Vlissingen;Vlissingen;Zeeland;W;36970;389020;5147785002;3688101106
2006;11;V;Personenauto;1;73196005;;;;Ruiterplaatweg;Aalscholverlaan;Bergeendlaan;Noord Beveland;Noord Beveland;Zeland;W;36807;398183;5156014917;3682670608
2006;76;V;Fiets;2;79223003;;;;Hogeweg;A van de Weijdeweg;GRAVENHOF;Schouwen-Duiveland;Schouwen-Duiveland;Zeland;W;39988;412018;5168512338;3723970438
2006;51;M;Personenauto;1;80168006;;;;Europaweg Oost;IJslandweg;Polenweg;Borsele;Borsele;Zeland;W;40402;384563;5143850957;3738937154
2006;42;M;Motor;4;82170015;;;3,4;Westerscheldetunnelweg;Westerscheldetunnelweg;Assenburgweg;Borsele;Borsele;Zeland;W;41241;385511;5144719787;3750693783
2006;10;V;Personenauto;1;83140004;;;1,8;Hoofdweg;Hasjesstraat;Hoofdweg;Terneuzen;Terneuzen;Zeland;W;41707;370095;5130876702;3762334643
2006;21;V;Personenauto;1;83140004;;;1,8;Hoofdweg;Hasjesstraat;Hoofdweg;Terneuzen;Terneuzen;Zeland;W;41707;370095;5130876702;3762334643
2006;55;V;Fiets;2;88122030;;;;Oostdam;Oostdam;Westkade;Terneuzen;Terneuzen;Zeland;K;44222;361101;5122844504;3801194263
2006;24;M;Bestelauto;5;88137002;;;1,8;Westerscheldetunnelweg;Hoofdweg;Westerscheldetunnelweg;Terneuzen;Terneuzen;Zeland;W;44303;370401;5131203032;3799457667
2006;75;M;Motor;4;88152004;;;2,7;Westerscheldetunnelweg;Westerscheldetunnelweg;Westerscheldetunnelweg;Borsele;Borsele;Zeland;W;44427;379182;5139095999;3798493144
2006;16;M;Bromfiets;5;89205003;;;;De Verlaetweg;Emelissedijk;Emelissedijk;Noord Beveland;Noord Beveland;Zeland;K;44728;402530;5160082033;37954908
2006;85;M;Bromfiets;5;93136035;;;;WESTKANAALWEG NOORD;WESTKADE;KORTE BLIKSTRAAT;Terneuzen;Terneuzen;Zeland;W;46698;368198;5129269732;3834469599
2006;18;V;Personenauto;1;93143106;;;;Mr. F.J. Haarmanweg;Dokweg;Mr. F.J. Haarmanweg;Terneuzen;Terneuzen;Zeeland;W;46578;371813;5132515896;3831645087
2006;19;M;Personenauto;1;93143106;;;;Mr. F.J. Haarmanweg;Dokweg;Mr. F.J. Haarmanweg;Terneuzen;Terneuzen;Zeeland;W;46578;371813;5132515896;3831645087
2006;24;M;Personenauto;1;93143106;;;;Mr. F.J. Haarmanweg;Dokweg;Mr. F.J. Haarmanweg;Terneuzen;Terneuzen;Zeeland;W;46578;371813;5132515896;3831645087
2006;77;M;Fiets;2;93145189;;;;Churchilllaan;Churchilllaan;Scheldeboulevard;Terneuzen;Terneuzen;Zeeland;K;46864;372897;5133495459;3835416236
2006;12;V;Fiets;2;98228009;;;;DELINGSDIJK;DELINGSDIJK;Elkerzeeseweg;Schouwen-Duiveland;Schouwen-Duiveland;Zeeland;K;49079;414255;5170701813;3854710968
2006;15;V;Fiets;2;100180098;;;;Anthony Fokkerstraat;Nansenplein;Nansenplein;Goes;Goes;Zeeland;K;50100;390361;514924984;3876647507
2006;77;M;Fiets;2;100185012;;;;Kuyperlaan;Kuyperlaan;Schaepmanstraat;Goes;Goes;Zeeland;K;50359;392542;5151214531;3879726301
