SECTION;RD;TMJA_S1;TMJA_S2;TMJA_S3;TMJO_S1;TMJO_S2;TMJO_S3;T_HPM_S1;HEURE_HPM_S1;T_HPS_S1;HEURE_HPS_S1;T_HPM_S2;HEURE_HPM_S2;T_HPS_S2;HEURE_HPS_S2;SENS1_DE;SENS1_VERS;SENS2_DE;SENS2_VERS;COMMUNE_COMPTEUR;TMJA_AA;TYPE_COMPTAGE;PERIODICITE;ANNEE_COMPTAGE;MOIS_COMPTAGE;TYPE_DU_COMPTEUR;LONGUEUR;geo_shape;geo_point_2d
1;D920;14039;23253;37292;13035;23496;36531;1005;8h-9h;801;17h-18h;1499;8h-9h;1418;18h-19h;Montrouge;Bagneux;Montrouge;Paris;MONTROUGE;37292 (17);TOURNANT;ANNUELLE;2017;SEPTEMBRE;Plots;1140.429018172389;"{""type"": ""LineString"", ""coordinates"": [[2.325645867753459, 48.81970550708159], [2.325936823276488, 48.81322108219348], [2.326740230224051, 48.81047160235614], [2.326577185016378, 48.80950918116384]]}";48.814571662, 2.32602500268
5;D920;12056;11740;23796;11433;9564;20997;750;8h-9h;846;17h-18h;755;8h-9h;633;18h-19h;Antony;Province;Antony;Sceaux;ANTONY;23796 (17);TOURNANT;ANNUELLE;2017;NOVEMBRE;Plots;1509.6656114357259;"{""type"": ""LineString"", ""coordinates"": [[2.314099609365927, 48.77653078443697], [2.314045302756401, 48.77632404910301], [2.313882370225225, 48.775739794986265], [2.31376010209717, 48.775461141283614], [2.313569909959328, 48.7750296778353], [2.313406897928475, 48.774643160236685], [2.313203165728096, 48.77409484796433], [2.31308091334858, 48.77379821835278], [2.312985842991769, 48.773537545077865], [2.312836417664911, 48.77319596889809], [2.3125104343747482, 48.772386976437936], [2.312361027387605, 48.77201843553417], [2.312157325595501, 48.7714521443151], [2.311912830750286, 48.77089483284778], [2.311844940372782, 48.770688092217334], [2.311709137216835, 48.77032854075918], [2.311410353110074, 48.76958246577577], [2.311043660105123, 48.768701553901415], [2.31097578132274, 48.76848582469075], [2.310839976512196, 48.76815323529015], [2.310690606996027, 48.767757726176384], [2.310174582163241, 48.76647231217265], [2.30911740259, 48.763775074052134], [2.308966133892011, 48.76338910917199]]}";48.7699537025, 2.31155607074
10;D906;13159;12752;25911;14427;14789;29216;1023;8h-9h;1013;18h-19h;1001;8h-9h;1048;17h-18h;Châtillon;Clamart;Châtillon;Paris;CHATILLON;25911 (06);TOURNANT;TRIENNALE;2006;SEPTEMBRE;TUBES;1270.8173082601897;"{""type"": ""LineString"", ""coordinates"": [[2.300774951325312, 48.811993856840935], [2.300502970771442, 48.81172414157044], [2.300312573559083, 48.811553316543396], [2.300230974946469, 48.811481388693494], [2.299687045330042, 48.81091499003981], [2.298599130777799, 48.80990801214841], [2.298439541764445, 48.80976715181226], [2.298218342451156, 48.80959331573306], [2.297796734901691, 48.80927860516046], [2.297538302906514, 48.8091257269511], [2.297429487507777, 48.809062776103815], [2.296899021681254, 48.80875701423859], [2.296776607648034, 48.808685069787956], [2.296518181809479, 48.80853219017364], [2.29636856097529, 48.80845124900676], [2.296150945385609, 48.80831635701319], [2.2959877258042782, 48.808226423176166], [2.295294037007276, 48.80785768194129], [2.295062798314103, 48.80774974753946], [2.294437129636019, 48.80741697642474], [2.294001881251335, 48.807192124595204], [2.293444306976798, 48.80680544594812], [2.292791468544128, 48.806445692850616], [2.291785029906416, 48.80588807038762], [2.290737833534695, 48.805285483758105], [2.290193846336779, 48.80497069707376], [2.289745079116549, 48.80469189713353], [2.289568307553225, 48.80456599723618], [2.289105940795417, 48.80428718891562], [2.288738782700355, 48.804053356884026], [2.288616407238305, 48.80396342861996]]}";48.8077457946, 2.29487269124
13;D906;16343;17917;34260;18028;19684;37712;1516;8h-9h;1286;17h-18h;1568;8h-9h;1613;18h-19h;Clamart;Province;Clamart;Châtillon;CLAMART;34260 (06);TOURNANT;TRIENNALE;2006;SEPTEMBRE;TUBES;821.6123737581971;"{""type"": ""LineString"", ""coordinates"": [[2.262906390901354, 48.79009984816432], [2.262131484789466, 48.789784785147845], [2.261764419955217, 48.789640745624034], [2.2614789465184, 48.789514733434224], [2.261057513032799, 48.78934369443416], [2.260649673622542, 48.78918165029403], [2.260269027721345, 48.78902860958276], [2.259249470780116, 48.78860551347932], [2.259208689544872, 48.78858751088046], [2.259004774890185, 48.78850648569915], [2.258828065567206, 48.788425478279954], [2.258501827051189, 48.788281455935824], [2.257332688099867, 48.78784925683175], [2.25662583130705, 48.78755217830784], [2.2540430908398, 48.786507800429234], [2.253381902045201, 48.78623160317385]]}";48.7881650184, 2.25814449744
14;D906;16150;19478;35628;17067;20648;37715;1147;7h-8h;1228;18h-19h;1326;8h-9h;1473;17h-18h;Clamart;Province;Clamart;Châtillon;CLAMART;35628 (06);TOURNANT;TRIENNALE;2006;SEPTEMBRE;TUBES;1220.1838908787267;"{""type"": ""LineString"", ""coordinates"": [[2.253381902045201, 48.78623160317385], [2.252221674001413, 48.78575152521298], [2.251664360952935, 48.7855354158533], [2.251242993002438, 48.78536434077072], [2.250427513516899, 48.78499524206191], [2.250142077673602, 48.784878190529064], [2.2483614711499422, 48.784184801595735], [2.24769548829241, 48.78390567534111], [2.246645510520899, 48.78344915157224], [2.244922839994977, 48.78278006161451], [2.24049234266462, 48.780951982212414], [2.239282871044597, 48.78043867730603]]}";48.7833414235, 2.24633008218
15;D906;17329;9910;27239;18639;10616;29255;1467;9h-10h;1566;18h-19h;759;8h-9h;776;19h-20h;Clamart;Province;Clamart;Châtillon;CLAMART;27239 (13);TOURNANT;TRIENNALE;2013;SEPTEMBRE;TUBES;1075.4436473394808;"{""type"": ""LineString"", ""coordinates"": [[2.239269270870674, 48.78043866638005], [2.239079002394439, 48.78036660558119], [2.238467486066324, 48.780105448200835], [2.238086989342618, 48.779943347615095], [2.236891077654088, 48.77947496946108], [2.235314777814937, 48.778808517901865], [2.231496345772135, 48.77726823610923], [2.231224595967782, 48.77715115021654], [2.230844197801349, 48.776962062443886], [2.230463710591506, 48.77681791345812], [2.230314284129324, 48.77673688690231], [2.229757195249323, 48.77650269589658], [2.229498996500391, 48.77641258289075], [2.229322356386005, 48.77634051798368], [2.229268071461247, 48.77628654058974], [2.22905085675779, 48.77610658278554], [2.228942306511497, 48.77598963880068], [2.228833906691674, 48.775800791528745], [2.228807027242027, 48.77564796922354], [2.228794100633165, 48.77532438685841], [2.228808503134704, 48.77493791363836], [2.228836578981187, 48.7745154987189]]}";48.7779366876, 2.23343834582
19;D76;13135;;13135;14006;;14006;951;8h-9h;1004;18h-19h;;;;;Paris;Province;Issy-les-Moulineaux;Paris;ISSY-LES-MOULINEAUX;13135 (12);TOURNANT;TRIENNALE;2012;SEPTEMBRE;TUBES;675.5038898453734;"{""type"": ""LineString"", ""coordinates"": [[2.28061257461671, 48.83202864004824], [2.279932300881487, 48.83165083516491], [2.278871087984493, 48.831066126538296], [2.278721429720093, 48.83098516442538], [2.278544545565063, 48.8309041886759], [2.277850851109134, 48.830382563194775], [2.277633264554809, 48.83018472709476], [2.277143631231537, 48.82979801314443], [2.275715232848627, 48.82896143518869], [2.275198314902092, 48.82864659976255], [2.273946801925453, 48.82792693158369], [2.27390356433751, 48.82789595408373]]}";48.8299667259, 2.27725745085
31;D907;5476;5781;11257;6029;6310;12339;;;;;;;;;Garches;Vaucresson;Garches;Saint-Cloud;GARCHES;11257 (17);SITER;ANNUELLE;2017;365J;;2273.413746339569;"{""type"": ""LineString"", ""coordinates"": [[2.199122447431442, 48.84152510611526], [2.198469062027751, 48.841452447406475], [2.197067297774617, 48.841190166952316], [2.196563744248558, 48.84109969834698], [2.193665130506024, 48.840512048580706], [2.191896516332602, 48.83998862524655], [2.191148101834762, 48.83982593337193], [2.19034517934295, 48.839681144758394], [2.18943356535278, 48.83945532814742], [2.188671730038761, 48.83922969044241], [2.187869107663053, 48.83898602259453], [2.18744733662135, 48.838877641985476], [2.187080081814236, 48.838751353274624], [2.186604009320907, 48.83858897531558], [2.186127729920683, 48.83849849619017], [2.185855553149546, 48.83845321278049], [2.185801117039989, 48.83844415583561], [2.185733066398899, 48.83843508250952], [2.185678605543317, 48.83843501255635], [2.185202119304912, 48.83841643131244], [2.182180041462568, 48.83823278682605], [2.181689997729912, 48.83819619747594], [2.18124077247994, 48.83816864825408], [2.181077416384626, 48.83815944668459], [2.180832339760161, 48.83815912578854], [2.18043755011952, 48.838140631826924], [2.1802469355103, 48.83814038032968], [2.180029091979767, 48.83814009355759], [2.179429990585536, 48.83814828981402], [2.178572199304006, 48.83815613917339], [2.178408814908884, 48.838155921741595], [2.177796153742668, 48.8381461163868], [2.177687231290494, 48.83814597072629], [2.177619154928544, 48.838145879637295], [2.176802209500017, 48.83815377045489], [2.176557160731604, 48.83814445251076], [2.176420980191077, 48.8381532568921], [2.174460009720312, 48.83826743445893], [2.174391933199185, 48.83826734145961], [2.174078724442804, 48.83828488901525], [2.172744221866449, 48.83834596819395], [2.17207695572261, 48.83838099684829], [2.171736513692751, 48.83839849935856], [2.171450648438214, 48.83838012764215], [2.170375467101721, 48.838243812627816], [2.169327725480922, 48.83804461401393], [2.169096381807492, 48.838008337370006]]}";48.8390839341, 2.18418151612
34;D3;26327;31544;57871;28952;34658;63610;2055;9h-10h;2740;20h-21h;4481;9h-10h;2319;19h-20h;Suresnes;Nanterre;Suresnes;Paris;SURESNES;57871 (13);TOURNANT;TRIENNALE;2013;JUIN;TUBES;88.7370979393011;"{""type"": ""LineString"", ""coordinates"": [[2.229543258284585, 48.866856207821115], [2.228916268270198, 48.867017415188876], [2.228425541636069, 48.867160768146036]]}";48.8670040046, 2.22898316908
37;D985;6042;4742;10784;6822;5450;12272;595;8h-9h;564;17h-18h;376;8h-9h;536;18h-19h;Saint-Cloud;Suresnes;Saint-Cloud;Ville-d'Avray;SAINT-CLOUD;10784 (17);TOURNANT;TRIENNALE;2017;JUIN;Plots;2169.0173317046265;"{""type"": ""LineString"", ""coordinates"": [[2.211091414762374, 48.85826415313585], [2.211077882648534, 48.85822818810287], [2.210969441018396, 48.85801237466555], [2.21092886271543, 48.85789549426218], [2.210942897691306, 48.857724747030396], [2.21102547183388, 48.85737432261254], [2.211176472135752, 48.85688915773733], [2.211217595273316, 48.85678135171002], [2.212108858777115, 48.85431072636806], [2.212260013266055, 48.85375365917609], [2.212438360139869, 48.853214594902525], [2.212493074730231, 48.85311578948992], [2.212547982577045, 48.852936096301946], [2.212575587781769, 48.85278333690907], [2.21264398538543, 48.852657583518045], [2.2126986549641, 48.852576752949496], [2.212739771300462, 48.852468945418586], [2.212959266312797, 48.85180409773338], [2.213041645214632, 48.851525569635264], [2.213096528098334, 48.85135486407887], [2.213425605727419, 48.85042050223232], [2.213480507275635, 48.8502408085369], [2.213768481481231, 48.849405265492116], [2.214221372262971, 48.84793177487667], [2.214290077309176, 48.847671206823456], [2.214263224564169, 48.84750940345692], [2.214250541397841, 48.84711393757466], [2.214196538197283, 48.846916155566696], [2.214115555937986, 48.84661049501626], [2.214020765551827, 48.846385708301106], [2.21387154755951, 48.84614289081549], [2.213545775744227, 48.84570216339653], [2.21335564643472, 48.84548626441951], [2.213097432664933, 48.845270295034624], [2.212743965206873, 48.84502726284929], [2.212295160458934, 48.844793117834186], [2.211968718206447, 48.844639987252094], [2.211778187510213, 48.84459484923647], [2.211533232654817, 48.84453167911829], [2.211329063658914, 48.84449551318538], [2.21100232090282, 48.844468205571005], [2.210375915297985, 48.84447652999269], [2.210239767042489, 48.84446739763758], [2.209531749027078, 48.844439680437304], [2.209368344036201, 48.84443950609007], [2.208701176762587, 48.844411827151376], [2.208102096461684, 48.844384218336245], [2.207734548054396, 48.844338882605676], [2.207448838831854, 48.844239708967656], [2.207190408879439, 48.844122589985496], [2.207027500331704, 48.843924685808275], [2.206946272053999, 48.8437358578647], [2.20701696587231, 48.84269337493136], [2.207017214274334, 48.842594511217406], [2.207045144614795, 48.84231592630498]]}";48.8489515724, 2.21158420918
