CAP;Comune;Abitanti;Denominazione;Indirizzo;Proprieta;ComplessoSportivo;CodiceTipologiaImpianto;ImpiantoCoperto: Si/No;Lunghezza;Larghezza;Altezza;ProfonditaMinima(Piscina);ProfonditaMassima(Piscina);SpogliatoiAtleti;ServiziDiversamenteAbili;SpogliatogliArbitri;NumeroSpettatori;ServiziIgieniciSpettatori;ServiziIgieniciSpettatoriDiversamenteAbili;AdeguatoNormeDiSicurezza;Illuminazione;Parcheggi;RealizzatoFunzionante: Si/No;RealizzatoFunzionanteOmologato: Si/No
83020;AIELLO DEL SABATO;2.680;Campo di CAlcio;C.da Campi SP 64;COMUNE;;30;No;100;60;;;;Si;;Si;500;Si;Si;Si;;Si;;Si
;;;Polivalente;C.DA CAMPI S.P.64;COMUNE;;180;;40;20;;;;;;;;;;;;;;
;;;Polivalewnte;C.da Salice;COMUNE;;180;Si;40;20;;;;;;;100;;;;;;;No
83011;ALTAVILLA IRP.;5.520;Tendostruttura;Via Giovanni Feola;COMUNE;Si;190;Si;25;39;12;;;Si;;;100;Si;;;Si;;;No
;;;Campo calcio;Via Giardini;COMUNE;;30;No;100;60;;;;;;Si;1.000;Si;;;Si;;;Si
;;;Polivalente aperto;Via G. Feola;COMUNE;Si;180;No;30;20;;;;;;Si;;;;;;;;No
83040;ANDRETTA;2.850;Campo calcio;Via Gorizia;COMUNE;Si;30;No;100;55;;;;Si;;Si;;;;;Si;Si;;Si
;;;Polivalente;Via Gorizia;COMUNE;Si;180;No;40;20;;;;Si;;Si;;;;;Si;Si;;Si
;;;Polivalnte bocce;Via Gorizia;COMUNE;Si;60;No;28;10;;;;Si;;Si;;;;;Si;Si;;Si
83041;AQUILONIA;2.720;Campo calcio;C.da Malepasso;COMUNE;;30;No;100;58;;;;Si;;Si;500;Si;Si;;Si;Si;;No
;;;Calcio a 5;C.so Vittorio Emanuele;COMUNE;;40;No;40;26;;;;Si;;Si;50;Si;;Si;Si;Si;;Si
;;;N. 2 campi da tennis;Contrada Chiusa  ;COMUNE;;320;;;;;;;;;;;;;;;;;
83031;ARIANO IRP.;31.980;Tennis;Villa Comunale;COMUNE;;320;No;20;15;;;;Si;;Si;;Si;Si;Si;Si;;;Si
;;;Campo sportivo;Via Cardito Piano di Zona;COMUNE;Si;180;No;42;26;;;;Si;;Si;;Si;Si;Si;Si;;;Si
;;;Campo calcio;Viale Tigli;COMUNE;Si;30;No;103;62;;;;Si;;Si;2.000;Si;Si;Si;Si;Si;;Si
;;;Polivalente Cannelle;Contrada Cannelle;COMUNE;Si;180;No;32;20;;;;;;;350;;;;;Si;;No
;;;Palazzetto dello sport;Via Cardito Piano di Zona;COMUNE;Si;190;Si;25;18;;;;Si;;Si;;Si;Si;;Si;Si;No;No
;;;Centro sportivo;Contrada S. Barbara;COMUNE;Si;180;Si;20;15;;;;Si;;;;;;Si;;;;No
;;;Campo sportivo;Contrada Palazzisi;COMUNE;;180;;;;;;;;;;;;;;;;;
;;;Campo sportivo;Contrada Cannelle;COMUNE;;180;;;;;;;;;;;;;;;;;
;;;Campo sportivo Camporeale;Contrada Camporeale Zona PIP;COMUNE;;180;;;;;;;;;;;;;;;;;
;;;Campo tennis Renzulli;Villa Comunale;COMUNE;;320;;;;;;;;;;;;;;;;;
83042;ATRIPALDA;10.800;Polivalente;C.da Alvanite;COMUNE;Si;190;Si;40;24;10;;;Si;;;;;;Si;Si;;;No
;;;Polivalente;Ctr.da Santissimo;COMUNE;Si;180;Si;40;12;8;;;Si;;;150;Si;;Si;Si;Si;;No
;;;Campo Sportivo;C.da Valleverde;COMUNE;;30;No;110;55;;;;Si;;Si;400;Si;Si;Si;;Si;;No
83021;AVELLA;6.400;Palestra Scuola elementare;Via F. De Sanctis;COMUNE;;190;No;26;12;7,5;;;Si;;;;Si;;;Si;Si;;Si
;;;Campo calcio;Via dei Mulini;COMUNE;;30;No;110;65;;;;Si;;Si;500;;;;Si;Si;;Si
;;;Palestra scuola media;Via F. De Sanctis;COMUNE;Si;190;Si;20;12;7,5;;;Si;;;;Si;;;Si;Si;;Si
;;;Polivalente;Viale A. Manzoni;COMUNE;Si;180;No;30;15;;;;Si;;Si;50;Si;;;Si;Si;;Si
83100;AVELLINO;57.000;Polisportivo Coni;Via Tagliamento 75;COMUNE;Si;180;No;;;;;;;;;;;;;;;;
;;;Pista;Via Tagliamento 75;COMUNE;Si;12;No;4.500,00;;;;;Si;;Si;;Si;Si;Si;;Si;;Si
;;;Tendostruttura B;Via Tagliamento 75;COMUNE;Si;170;Si;25;20;10;;;;;;;;;Si;;;;
;;;Tendostruttura A;Via Tagliamento 75;COMUNE;Si;190;Si;54;25;12;;;;;;;;;;;;Si;
;;;Tennis Comunale;c/o Villa Comunale;COMUNE;;320;Si;36;18;;;;Si;;Si;30;Si;;Si;Si;Si;;Si
;;;Polivalente rionale;Frazione Bellizzi;COMUNE;Si;180;No;40;20;;;;Si;;;100;Si;;Si;;Si;;No
;;;Polivalente Rionale;Frazione Bellizzi;COMUNE;Si;40;No;38;18;;;;Si;;;100;Si;;Si;;Si;;No
;;;Palazzetto dello sport;Via Zoccolari;COMUNE;Si;190;Si;44;22;10;;;Si;;Si;;Si;Si;Si;Si;Si;;Si
;;;Palestra II circolo;Via Roma;COMUNE;Si;190;Si;25;18;7;;;Si;;;;;Si;Si;Si;;;Si
;;;Polisportivo Ferrovia;Borgo Ferrovia;COMUNE;Si;30;Si;105;65;;;;Si;;Si;3.000;Si;Si;Si;Si;Si;;Si
;;;Polisportivo Bellizzi;Loc. Bellizzi AV;COMUNE;Si;180;No;30;20;;;;Si;;Si;300;Si;Si;Si;Si;Si;;Si
;;;Polisportivo Rione Valle;Valle Avellino;COMUNE;Si;180;Si;42;20;;;;Si;;Si;500;Si;Si;Si;Si;;;Si
;;;Polisportivo Rionale;Via degli Imbimbo;COMUNE;Si;180;Si;40;20;9;;;Si;;Si;300;Si;Si;Si;Si;Si;;Si
;;;Campo calcio;Via S. Tommaso AV;COMUNE;;30;No;105;65;;;;Si;;Si;1.000;Si;Si;Si;Si;Si;;Si
;;;Complesso sportivo;Rione S. Tommaso;COMUNE;Si;180;No;40;20;;;;Si;;Si;500;Si;Si;Si;Si;Si;Si;Si
;;;Complesso sportivo;Rione S. Tommaso;COMUNE;Si;320;No;38;18;;;;Si;;Si;500;Si;Si;Si;Si;Si;Si;Si
;;;Complesso sportivo;Rione S. Tommaso;COMUNE;Si;112;No;1.000,00;;;;;Si;;Si;500;Si;Si;Si;Si;Si;Si;Si
;;;Palestra I circolo;Piazza Garibaldi;COMUNE;Si;190;Si;22,2;12,1;6,5;;;Si;;Si;200;Si;;Si;Si;;;No
;;;Palestra ;Via Morelli e Silvati;COMUNE;Si;190;Si;24;12;7;;;Si;;;;Si;;Si;Si;;;Si
;;;Palestra ;Borgo Ferrovia;COMUNE;Si;190;Si;25;15;8;;;Si;;;100;Si;Si;Si;Si;Si;;No
;;;Palestra scolastica Fontanatetta;Via Fontanatetta;COMUNE;Si;190;Si;28;30;20;;;Si;;Si;;Si;Si;Si;Si;Si;;Si
;;;Pales. Scolast. S.M. Cocchia;Via Tuoro Cappuccini;COMUNE;Si;190;Si;30;20;7;;;Si;;Si;100;Si;Si;Si;Si;Si;;Si
;;;Pales. Scuola Media Da VinciI;P.zza Solimene;COMUNE;Si;190;Si;24;12;7;;;;;;;;;Si;Si;;;No
;;;Pales. Scuola Media Solimene;Via F.lli Urciuoli;COMUNE;Si;190;Si;24;12;7;;;Si;;Si;;Si;Si;Si;Si;;;
;;;Pales. ScuollaMedia D. Alighieri;Via Piave;COMUNE;Si;190;Si;30;20;7;;;Si;;Si;200;Si;Si;Si;Si;;;No
;;;Palestra Convitto Naz. Le;Via Colombo;CONVITTO;Si;190;Si;28;15;7;;;Si;;Si;150;;;;Si;Si;;Si
;;;Campo Calcio A 5;Via Colombo;CONVITTO;Si;40;No;40;20;;;;Si;;Si;200;;;;Si;Si;;Si
;;;Pallacanestro;Via Colombo;CONVITTO;Si;150;Si;28;14;;;;Si;;Si;50;;;;Si;Si;;Si
;;;Pales. Sc. Elem. Rione Parco;Rione Parco;COMUNE;Si;190;Si;30;20;7;;;Si;;Si;;;;Si;Si;;;Si
;;;Palestra IPSIA Amatucci;Viale Italia;COMUNE;Si;190;Si;30;18;7;;;;;;;;;;;;;No
;;;Impianto Sportivo S.Tommaso;Rione S. Tommaso;COMUNE;Si;30;No;100;60;;;;Si;;Si;300;Si;;;;;;Si
;;;Campo Sportivo  Partenio A;Via Zoccolari;COMUNE;;30;No;105;68;;;;Si;;Si;9.999;Si;Si;Si;Si;Si;;Si
;;;Campo Sportivo PartenioB;Via Zoccolari;COMUNE;;30;No;102;62;;;;Si;;Si;300;Si;Si;Si;Si;Si;;Si
;;;Pal. Com.le Stadio Partenio;Via Zoccolari;COMUNE;;190;Si;30;15;8;;;Si;;Si;;Si;Si;Si;Si;;;Si
;;;Palestra Conservatorio;Via Circumvallazione;PROVINCIA;Si;190;Si;30;20;7;;;;;;;;;;;;;No
;;;Psles. IPSIA Giorgi AV;Via Ferrante;PROVINCIA;Si;190;Si;18,5;11;6;;;Si;;Si;;Si;Si;Si;Si;;;No
;;;Pal. Scol. Liceo Classico;Via Tuoro Cappuccini;PROVINCIA;Si;190;Si;28;15;7;;;;;;;;;;;;;Si
;;;Pales. Scol. Istituto d'arte;Via Tuoro Cappuccini;PROVINCIA;Si;190;Si;24;12;7,5;;;Si;;Si;100;Si;Si;Si;Si;;;Si
;;;Pales. Ist. Tec. Geom.;Via Morelli e Silvati;PROVINCIA;Si;190;Si;36;18;8;;;;;;100;;;Si;Si;Si;;Si
;;;Pales. Scol.Liceo Scient.;Via De Conciliis;PROVINCIA;Si;190;Si;24,4;12,2;7;;;;;;;;;Si;;Si;;Si
;;;Pales. Scol. Ist. Magistrale;C.da Baccanico;PROVINCIA;Si;190;Si;30;16;7;;;Si;;;50;Si;Si;Si;Si;Si;;Si
;;;Pales. Scol. IPC Scoca;Via Pescatori;PROVINCIA;Si;190;Si;28;14;8;;;;;;;;;;Si;;;No
;;;PATTINAGGIO;Via Morelli e Silvati;COMUNE;;111;No;40;20;;;;Si;;;;;;;Si;;;No
;;;Pattinaggio;P.co Palatucci;COMUNE;;112;No;60;35;;;;;;;;Si;Si;Si;Si;;;Si
;;;Campo calcetto;P.co Palatucci;COMUNE;;40;No;36;18;;;;;;;;Si;Si;Si;Si;;;No
83043;BAGNOLI IRPINO;3.860;Campo calcio;Località Laceno;COMUNE;;30;No;100;60;;;;;;;2.000;;;;SiAV;;;No
;;;Palestra scuola media;Largo San Rocco;COMUNE;Si;190;Si;20;15;5;;;Si;;;;;;;Si;;;Si
;;;Pal. Scuola Elementare e Materna;Via A. Frank;COMUNE;Si;190;Si;20;15;5;;;Si;;;;Si;Si;;Si;Si;;Si
;;;Campo Calcio V. Gatti;Località Difesa;COMUNE;;30;No;110;50;7;;;Si;;Si;;Si;;;Si;Si;;Si
;;;Polivalente;Via Pescatori;COMUNE;Si;190;No;40;20;6,8;;;Si;;;250;;;;Si;;;No
;;;Campo bocce   ;Via Pescatori;COMUNE;;60;No;25;10;6,5;;;;;;50;;;;;Si;;No
83022;BAIANO;5.200;Polivalente;Via Cavour;COMUNE;Si;180;No;36;18;7,5;;;Si;;Si;100;Si;Si;Si;Si;;;No
;;;Campo calcio;Via Ad Avella;COMUNE;;30;No;105;65;;;;Si;;Si;400;Si;Si;Si;;;;Si
;;;Polivalente;Via L. Napolitano;COMUNE;Si;190;No;30;20;7;;;;;;;;;;;;;No
;;;Palestra Scuola Elementare;Via Angelo Scafuri;COMUNE;Si;190;Si;20;10;5;;;Si;;Si;;;;Si;;Si;;No
;;;Pales. Scuola Media G. Parini;Via L. Napolitano;COMUNE;Si;190;Si;20;12;6,5;;;Si;;Si;;Si;Si;Si;Si;;;Si
83044;BISACCIA;4.780;Palestra;Via Calli;COMUNE;Si;190;Si;15;22;8,2;;;;;;;Si;;;Si;Si;;No
;;;Polivalente;Via Calli;COMUNE;Si;180;No;25;15;;;;;;;50;;;;;;;No
;;;Palestra;Via Roma;COMUNE;Si;190;Si;15;10;8,5;;;Si;;;;Si;;;Si;;;No
;;;Campo da tennis;Via Lago Melella;COMUNE;;320;No;24,8;11;;;;Si;;Si;30;;;;;Si;;No
;;;Campo calcio;Loc. Cappella Bellantonie;COMUNE;;30;No;120;60;;;;Si;;;250;;;;Si;Si;;No
;;;Calcio a 5;Via Lago Melella;COMUNE;;40;No;41;21;;;;;;;50;;;;Si;Si;;No
;;;Bocce;Via Corolle;COMUNE;;60;No;12;90;;;;;;;10;;;;;;;No
83032;BONITO;2.680;Polivalente;Località Beatrice;COMUNE;;30;No;100;60;;;;Si;;Si;100;Si;Si;Si;;Si;;No
83040;CAIRANO;830;Campo Calcio;Loc. Vignale;COMUNE;;30;No;90;45;;;;Si;;Si;200;Si;Si;Si;;;;No
;;;Polivalente;Loc. Vignale;COMUNE;;180;;;;;;;;;;;;;;;;;
83040;CALABRITTO;3.010;Campo calcetto;Via Licina;COMUNE;;30;No;100;50;;;;Si;;;;Si;;;;;;No
;;;Campo sportivo;Via S. Vito;COMUNE;;180;;;;;;;;;;;;;;;;;
83045;CALITRI;6.650;Polivalente;Via Circumvallazione ;COMUNE;Si;180;No;110;65;;;;Si;;Si;1.000;Si;;;Si;Si;;No
;;;Polivalente;Via Circumvallazione ;COMUNE;Si;12;No;4.200,00;;;;;Si;;Si;1.000;Si;;;Si;Si;;No
;;;Polivalente;Via Circumvallazione ;COMUNE;Si;320;No;36;18;;;;Si;;Si;;Si;;;Si;Si;;No
;;;Palestra Comunale;Via Cupa   ;COMUNE;Si;190;Si;24;12;6;;;Si;;;50;;;Si;Si;Si;;No
83040;CANDIDA;1.050;Polivalente;Via Termite;COMUNE;Si;180;No;20;15;;;;Si;;Si;;Si;;;;;;No
;;;Piscina coperta;Via Termite;COMUNE;Si;200;No;25;0,53;;2,8;1,2;Si;;Si;;Si;;;;;;No
83040;CAPOSELE;4.100;Palestra;Via Pianello;COMUNE;Si;190;Si;37,6;19,6;0,28;;;Si;;Si;;Si;Si;Si;Si;;;No
;;;Calcetto Palmenta;Località Palmenta+G110;COMUNE;;40;No;41,4;2,1;;;;Si;;;700;Si;Si;Si;Si;;;No
;;;Pales. Com. Le Materdomini;Via Duomo;COMUNE;Si;190;Si;23,64;11,46;;;;Si;;Si;;Si;Si;Si;Si;;;No
;;;Campo Calcio Palmenta;Località Palmenta;COMUNE;;30;No;110;65;;;;Si;;Si;1.500;Si;Si;Si;Si;;;No
;;;Tennis Palmenta;Località Palmenta;COMUNE;;320;Si;36,75;18,36;;;;Si;;Si;;Si;Si;Si;Si;;;Si
;;;Piscina;Contrada Piani;COMUNE;;200;;;;;;;;;;;;;;;;;
83010;CAPRIGLIA IRP.;2.030;Calcetto;Località S. Felice;COMUNE;;40;No;36;18;;;;Si;;Si;;;;Si;Si;;;No
;;;Polivalente;Località S. Felice;COMUNE;Si;180;No;44;22;;;;;;Si;200;;;;Si;Si;;No
83040;CARIFE;2.170;Campo calcio;Loc. TIERZI;COMUNE;;30;No;100;60;;;;Si;;Si;750;;Si;;;Si;;No
;;;Polivalente;Via Fontana Nuova;COMUNE;;180;;;;;;;;;;;;;;;;;
83034;CASALBORE;2.200;Piscina;Via Amendola;COMUNE;;200;No;25;12,5;;2,5;1,8;;;;;;;;;;Si;No
;;;Polivalente;Via delle Rimembranze;COMUNE;Si;180;No;28;15;;;;Si;;Si;;Si;;Si;Si;Si;;No
;;;Polivalente;Via Sandro Pertini;COMUNE;;180;;;;;;;;;;;;;;;;;
83040;CASSANO IRP.;980;Palestra;Via Pioppi;COMUNE;;190;Si;38,6;17,2;7,6;;;Si;;Si;80;Si;Si;Si;Si;Si;;No
;;;Polivalente;C.da Chianola;COMUNE;;40;No;40;20;;;;Si;;Si;;Si;;Si;;;;No
;;;Polivalente;C.da Acquolella;COMUNE;;180;No;36;18;;;;Si;;Si;50;Si;;Si;Si;Si;;No
;;;Piscina;C.da Pollentinella;COM.MONT.;;200;Si;25;12,5;6,5;2,5;1,8;;;;;;;;;;;Si
83040;CASTELBARONIA;1.520;Polivalente;Via Giovanni SiSiIII;COMUNE;Si;180;No;40;20;;;;Si;;;80;;;;;Si;;No
;;;Palestra;Via S. Giovanni;COMUNE;Si;190;Si;33;20;6,5;;;Si;;Si;;;;Si;;;;No
;;;Campo calcio;Via Difesa;COMUNE;;30;No;100;50;;;;Si;;Si;100;;;;;Si;;No
83040;CASTELFRANCI;2.800;Campo calcio;Contrada Iampenne Mont.;COMUNE;;30;No;102;50;;;;Si;;Si;300;;;Si;Si;;;Si
83040;CASTELVETERE S.C.;1.920;campo tennis;Viale Guzzo;COMUNE;;320;No;37;21;;;;;;;300;;;;Si;Si;;No
;;;Campo calcetto;Loc. S. Angelo;COMUNE;;40;No;48;28;;;;Si;;Si;800;;;Si;Si;Si;;Si
;;;Palestra;Loc. S. Angelo;COMUNE;Si;190;Si;30;20;10;;;Si;;Si;;;;Si;Si;Si;;No
;;;Campo calcio;Loc. Campo Lopregi;COMUNE;;30;No;110;80;;;;Si;;Si;300;;;Si;;;;Si
83012;CERVINARA;10.550;Campo calcio;;COMUNE;;30;No;100;60;;;;Si;;Si;1.000;;;Si;;;;Si
;;;Palestra scuola media;Via Renazzo;COMUNE;Si;190;Si;30;18;7;;;Si;;Si;;;Si;;;Si;;
;;;Pallavolo;Via Renazzo;COMUNE;;170;Si;26;14;;;;;;;;;;;;;Si;
;;;Pallacanestro;Via Renazzo;COMUNE;;150;Si;26;4;;;;;;;;;;;;;Si;
;;;Palestra;Via Renazzo;COMUNE;;190;Si;18;8;7,59;;;;;;;;;Si;Si;;;No
83020;CESINALI;1.700;Campo calcetto;Fraz. Villa San Nicola;COMUNE;;40;No;45;20;;;;Si;;Si;200;;;;;Si;;No
;;;Polivalente;Loc. Nocelleto;COMUNE;;180;No;20;12;;;;Si;;Si;200;;;;Si;;;No
;;;Campo calcio;Loc. Nocelleto;COMUNE;;30;No;102;60;;;;Si;;Si;700;;;Si;Si;Si;;Si
;;;Bocciodromo;Via Valle;COMUNE;;60;Si;27;12;8,5;;;Si;;Si;50;Si;;;Si;Si;;No
;;;Palestra;Via Valle;COMUNE;Si;190;Si;25,6;19;8;;;Si;;Si;;;;Si;Si;Si;;No
;;;Campo rugby;Loc. Montevevolo;COMUNE;Si;190;Si;24;12;8;;;Si;;;;;;Si;Si;Si;;No
83010;CHIANCHE;800;Campo calcetto;Loc. Tummone Greci;COMUNE;;40;No;38;20;;;;;;;;;;Si;;Si;;No
83040;CHIUSANO S.D.;2.550;Polivalente;Via Arco;COMUNE;Si;180;No;46;36;;;;Si;;Si;500;Si;Si;Si;Si;;;No
83020;CONTRADA;2.520;Polivalente;Via Toppa;COMUNE;Si;180;No;37;20;;;;Si;;Si;150;Si;Si;;;Si;;No
;;;Polivalente;Via Nazionale;COMUNE;Si;180;No;37;20;7;;;Si;;Si;;Si;Si;;;Si;;No
;;;Campo calcio;Via Fratte;COMUNE;;30;No;95;70;;;;Si;;Si;;Si;Si;;;Si;;No
;;;Palestra;Via Roma;COMUNE;Si;190;Si;30;17;7;;;Si;;Si;150;Si;Si;;;Si;;No
83040;CONZA DELLA CAMPANIA;1.510;Campo calcio;Corso De Sanctis;COMUNE;;30;No;100;60;;;;Si;Si;Si;1.500;Si;Si;Si;Si;Si;;Si
83020;DOMICELLA;1.710;Impianto Sportivo   ;Via G. Anisio;COMUNE;Si;30;No;100;60;1,93;;;Si;;Si;1.000;;;;Si;Si;;No
;;;Campo calcetto;Frazione Casola;COMUNE;;40;;;;;;;;;;;;;;;;;
83040;FLUMERI;3.200;Polivalente;Via Giardino;COMUNE;Si;180;No;40;20;;;;Si;;Si;500;Si;;;Si;;;No
;;;Polivalente;Via Giardino;COMUNE;Si;320;No;40;20;;;;Si;;Si;500;Si;;;Si;;;No
83040;FONTANAROSA;4.200;Campo calcio;C.da Caprino+G147;COMUNE;;30;No;100;55;;;;Si;;Si;2.000;Si;;Si;Si;Si;;No
;;;Piscina;Via F. De Sanctis -Caprino;COMUNE;;200;Si;25;12;5;1,8;2,5;Si;;;;Si;Si;Si;;Si;;No
;;;Polivalente;Via F. De Sanctis;COMUNE;Si;180;No;40;20;;;;;;;100;;;Si;Si;Si;;No
