Comune;Provincia;Regione;Intervento;Lotto;Norma di riferimento;Tipo di dissesto;Posizione;Denominazione;Localit�;Ente attuatore;Comune primario;Importo finanziato;Nota importo finanziato;Importo lotto;Fase di attuazione;;;;;;;;;;;;;;;;
AGLIE';CITTA' METROPOLITANA DI TORINO;Piemonte;TO166A/10;1;AP 2010-11;Frana;Georiferito;SISTEMAZIONE FRANA VERSANTE VERSO AREA PARCHEGGIO CASTELLO A SEGUITO DELLAEVENTO CALAMITOSO DEL NOVEMBRE-DICEMBRE 2008 (OPERE DI CONSOLIDAMENTO ATTIVO);AREA PARCHEGGIO CASTELLO;Commissario Straordinario - attuazione interventi Regione Piemonte;AGLIEs;180000.00;;169200.00;concluso;;;;;;;;;;;;;;;;
ALA DI STURA;CITTA' METROPOLITANA DI TORINO;Piemonte;214/07;1;D.L.180/98;Non definito;Georiferito;Sistemazione dissesto;Villar;Comune - ALA DI STURA;ALA DI STURA;155000.00;;0.00;in esecuzione;;;;;;;;;;;;;;;;
ALA DI STURA;CITTA' METROPOLITANA DI TORINO;Piemonte;765/99;1;D.L.180/98;Frana;Georiferito;Sistemazione del movimento franoso fraz. di Villar;Fraz. Villar;Comune - ALA DI STURA;ALA DI STURA;155000.00;;0.00;in esecuzione;;;;;;;;;;;;;;;;
ALMESE;CITTA' METROPOLITANA DI TORINO;Piemonte;TO165A/10;1;AP 2010-11;Frana;Georiferito;SISTEMAZIONE FRANA IN LOC. COSTA BELLA A SEGUITO DELLiEVENTO CALAMITOSO DEL NOVEMBRE-DICEMBRE 2008  (OPERE DI CONSOLIDAMENTO ATTIVO);COSTA BELLA;Commissario Straordinario - attuazione interventi Regione Piemonte;LA CASSA;130000.00;;130000.00;concluso;;;;;;;;;;;;;;;;
ALPIGNANO;CITTA' METROPOLITANA DI TORINO;Piemonte;01IR010/G3;1;AP 2010-11;Alluvione;Georiferito;Cassa di espansione del fiume Dora Riparia a protezione della cittn di Torino. Progettazione intervento ed opere 1i Lotto.;ALPIGNANO CASELETTE;Altro -  SCONOSCIUTO;ALPIGNANO;13538900.00;;0.00;da avviare o dati non comunicati;;;;;;;;;;;;;;;;
ANDEZENO;CITTA' METROPOLITANA DI TORINO;Piemonte;210/08;1;D.L.180/98;Alluvione;Centroide;Sistemazione idraulica rio Canarone e realizzazione scolmatore;A monte area industriale;Comune - ANDEZENO;ANDEZENO;1400000.00;;1600000.00;in esecuzione;;;;;;;;;;;;;;;;
BALANGERO;CITTA' METROPOLITANA DI TORINO;Piemonte;TO167A/10;1;AP 2010-11;Frana;Georiferito;SISTEMAZIONE MOVIMENTO FRANOSO PRESSO IL CIMITERO  A SEGUITO DELLeEVENTO CALAMITOSO DEL NOVEMBRE-DICEMBRE 2008 (OPERE DI CONSOLIDAMENTO ATTIVO);CIMITERO;Commissario Straordinario - attuazione interventi Regione Piemonte;BALANGERO;290000.00;;290000.00;concluso;;;;;;;;;;;;;;;;
BALDISSERO TORINESE;CITTA' METROPOLITANA DI TORINO;Piemonte;TO168A/10;1;AP 2010-11;Frana;Centroide;SISTEMAZIONI IDROGEOLOGICHE LOCALITAn VARIE A SEGUITO DEGLI EVENTI CALAMITOSI DEL NOVEMBRE-DICEMBRE 2008 E DELLOAPRILE 2009 (OPERE DI CONSOLIDAMENTO ATTIVO E REGIMAZIONE ACQUE);VARIE;Commissario Straordinario - attuazione interventi Regione Piemonte;BALDISSERO TORINESE;194000.00;;194000.00;in esecuzione;;;;;;;;;;;;;;;;
BALME;CITTA' METROPOLITANA DI TORINO;Piemonte;112/09;1;D.L.180/98;Frana;Georiferito;Sistemazione versante a protezione dell'abitato di Chialambertetto;Chialambertetto;Comune - BALME;BALME;400000.00;;400000.00;in esecuzione;;;;;;;;;;;;;;;;
BARDONECCHIA;CITTA' METROPOLITANA DI TORINO;Piemonte;008/99;1;D.L.180/98;Misto;Georiferito;CONSOLIDAMENTO E/O MONITORAGGIO. SISTEMAZIONE IDRAULICA;CAPOLUOGO;Comune - BARDONECCHIA;BARDONECCHIA;4389883.64;;2634424.00;concluso;;;;;;;;;;;;;;;;
